Date,Close
2014-05-20,0.434
2014-05-21,0.434
2014-05-22,0.436
2014-05-23,0.44
2014-05-27,0.448
2014-05-28,0.451
2014-05-29,0.451
2014-05-30,0.452
2014-06-02,0.451
2014-06-03,0.449
2014-06-04,0.449
2014-06-05,0.451
2014-06-06,0.453
2014-06-09,0.453
2014-06-10,0.456
2014-06-11,0.461
2014-06-12,0.464
2014-06-13,0.465
2014-06-16,0.463
2014-06-17,0.466
2014-06-18,0.466
2014-06-19,0.455
2014-06-20,0.45
2014-06-23,0.445
2014-06-24,0.438
2014-06-25,0.443
2014-06-26,0.437
2014-06-27,0.437
2014-06-30,0.441
2014-07-01,0.446
2014-07-02,0.444
2014-07-03,0.448
2014-07-07,0.445
2014-07-08,0.441
2014-07-09,0.455
2014-07-10,0.452
2014-07-11,0.453
2014-07-14,0.459
2014-07-15,0.461
2014-07-16,0.46
2014-07-17,0.459
2014-07-18,0.439
2014-07-21,0.441
2014-07-22,0.439
2014-07-23,0.43
2014-07-24,0.431
2014-07-25,0.423
2014-07-28,0.422
2014-07-29,0.423
2014-07-30,0.43
2014-07-31,0.416
2014-08-01,0.421
2014-08-04,0.42
2014-08-05,0.42
2014-08-06,0.42
2014-08-07,0.415
2014-08-08,0.452
2014-08-11,0.45
2014-08-12,0.45
2014-08-13,0.452
2014-08-14,0.447
2014-08-15,0.453
2014-08-18,0.459
2014-08-19,0.463
2014-08-20,0.46
2014-08-21,0.456
2014-08-22,0.456
2014-08-25,0.457
2014-08-26,0.465
2014-08-27,0.459
2014-08-28,0.463
2014-08-29,0.465
2014-09-02,0.466
2014-09-03,0.47
2014-09-04,0.479
2014-09-05,0.477
2014-09-08,0.473
2014-09-09,0.467
2014-09-10,0.469
2014-09-11,0.464
2014-09-12,0.457
2014-09-15,0.451
2014-09-16,0.457
2014-09-17,0.458
2014-09-18,0.464
2014-09-19,0.456
2014-09-22,0.451
2014-09-23,0.449
2014-09-24,0.452
2014-09-25,0.442
2014-09-26,0.443
2014-09-29,0.442
2014-09-30,0.441
2014-10-01,0.437
2014-10-02,0.435
2014-10-03,0.436
2014-10-06,0.433
2014-10-07,0.428
2014-10-08,0.436
2014-10-09,0.428
2014-10-10,0.403
2014-10-13,0.401
2014-10-14,0.41
2014-10-15,0.417
2014-10-16,0.417
2014-10-17,0.416
2014-10-20,0.42
2014-10-21,0.438
2014-10-22,0.427
2014-10-23,0.437
2014-10-24,0.442
2014-10-27,0.442
2014-10-28,0.452
2014-10-29,0.449
2014-10-30,0.447
2014-10-31,0.467
2014-11-03,0.475
2014-11-04,0.481
2014-11-05,0.481
2014-11-06,0.483
2014-11-07,0.473
2014-11-10,0.478
2014-11-11,0.473
2014-11-12,0.469
2014-11-13,0.467
2014-11-14,0.473
2014-11-17,0.471
2014-11-18,0.482
2014-11-19,0.48
2014-11-20,0.488
2014-11-21,0.491
2014-11-24,0.494
2014-11-25,0.494
2014-11-26,0.502
2014-11-28,0.503
2014-12-01,0.494
2014-12-02,0.495
2014-12-03,0.507
2014-12-04,0.503
2014-12-05,0.506
2014-12-08,0.499
2014-12-09,0.497
2014-12-10,0.486
2014-12-11,0.486
2014-12-12,0.471
2014-12-15,0.47
2014-12-16,0.464
2014-12-17,0.483
2014-12-18,0.485
2014-12-19,0.49
2014-12-22,0.499
2014-12-23,0.495
2014-12-24,0.494
2014-12-26,0.494
2014-12-29,0.493
2014-12-30,0.489
2014-12-31,0.481
2015-01-02,0.483
2015-01-05,0.475
2015-01-06,0.46
2015-01-07,0.459
2015-01-08,0.477
2015-01-09,0.478
2015-01-12,0.472
2015-01-13,0.472
2015-01-14,0.474
2015-01-15,0.47
2015-01-16,0.479
2015-01-20,0.48
2015-01-21,0.487
2015-01-22,0.495
2015-01-23,0.497
2015-01-26,0.495
2015-01-27,0.471
2015-01-28,0.463
2015-01-29,0.475
2015-01-30,0.461
2015-02-02,0.471
2015-02-03,0.483
2015-02-04,0.484
2015-02-05,0.492
2015-02-06,0.489
2015-02-09,0.489
2015-02-10,0.503
2015-02-11,0.499
2015-02-12,0.535
2015-02-13,0.535
2015-02-17,0.537
2015-02-18,0.531
2015-02-19,0.532
2015-02-20,0.536
2015-02-23,0.532
2015-02-24,0.537
2015-02-25,0.533
2015-02-26,0.535
2015-02-27,0.531
2015-03-02,0.544
2015-03-03,0.534
2015-03-04,0.54
2015-03-05,0.551
2015-03-06,0.543
2015-03-09,0.545
2015-03-10,0.554
2015-03-11,0.551
2015-03-12,0.546
2015-03-13,0.547
2015-03-16,0.553
2015-03-17,0.56
2015-03-18,0.551
2015-03-19,0.559
2015-03-20,0.565
2015-03-23,0.547
2015-03-24,0.54
2015-03-25,0.507
2015-03-26,0.505
2015-03-27,0.515
2015-03-30,0.517
2015-03-31,0.504
2015-04-01,0.506
2015-04-02,0.507
2015-04-06,0.522
2015-04-07,0.527
2015-04-08,0.53
2015-04-09,0.543
2015-04-10,0.548
2015-04-13,0.543
2015-04-14,0.539
2015-04-15,0.545
2015-04-16,0.542
2015-04-17,0.535
2015-04-20,0.532
2015-04-21,0.531
2015-04-22,0.537
2015-04-23,0.535
2015-04-24,0.531
2015-04-27,0.535
2015-04-28,0.537
2015-04-29,0.533
2015-04-30,0.535
2015-05-01,0.548
2015-05-04,0.545
2015-05-05,0.531
2015-05-06,0.532
2015-05-07,0.542
2015-05-08,0.502
2015-05-11,0.497
2015-05-12,0.502
2015-05-13,0.505
2015-05-14,0.513
2015-05-15,0.513
2015-05-18,0.512
2015-05-19,0.509
2015-05-20,0.509
2015-05-21,0.505
2015-05-22,0.505
2015-05-26,0.502
2015-05-27,0.528
2015-05-28,0.536
2015-05-29,0.535
2015-06-01,0.542
2015-06-02,0.531
2015-06-03,0.525
2015-06-04,0.535
2015-06-05,0.539
2015-06-08,0.526
2015-06-09,0.529
2015-06-10,0.52
2015-06-11,0.525
2015-06-12,0.511
2015-06-15,0.51
2015-06-16,0.516
2015-06-17,0.522
2015-06-18,0.531
2015-06-19,0.529
2015-06-22,0.527
2015-06-23,0.513
2015-06-24,0.508
2015-06-25,0.512
2015-06-26,0.502
2015-06-29,0.487
2015-06-30,0.487
2015-07-01,0.494
2015-07-02,0.494
2015-07-06,0.488
2015-07-07,0.479
2015-07-08,0.475
2015-07-09,0.47
2015-07-10,0.478
2015-07-13,0.481
2015-07-14,0.481
2015-07-15,0.478
2015-07-16,0.489
2015-07-17,0.486
2015-07-20,0.477
2015-07-21,0.479
2015-07-22,0.47
2015-07-23,0.475
2015-07-24,0.47
2015-07-27,0.467
2015-07-28,0.477
2015-07-29,0.483
2015-07-30,0.484
2015-07-31,0.483
2015-08-03,0.491
2015-08-04,0.493
2015-08-05,0.498
2015-08-06,0.495
2015-08-07,0.556
2015-08-10,0.575
2015-08-11,0.573
2015-08-12,0.574
2015-08-13,0.569
2015-08-14,0.57
2015-08-17,0.566
2015-08-18,0.561
2015-08-19,0.559
2015-08-20,0.538
2015-08-21,0.522
2015-08-24,0.503
2015-08-25,0.493
2015-08-26,0.53
2015-08-27,0.55
2015-08-28,0.552
2015-08-31,0.546
2015-09-01,0.524
2015-09-02,0.54
2015-09-03,0.541
2015-09-04,0.529
2015-09-08,0.551
2015-09-09,0.54
2015-09-10,0.549
2015-09-11,0.55
2015-09-14,0.551
2015-09-15,0.557
2015-09-16,0.561
2015-09-17,0.566
2015-09-18,0.566
2015-09-21,0.572
2015-09-22,0.556
2015-09-23,0.559
2015-09-24,0.57
2015-09-25,0.574
2015-09-28,0.566
2015-09-29,0.576
2015-09-30,0.599
2015-10-01,0.587
2015-10-02,0.603
2015-10-05,0.618
2015-10-06,0.626
2015-10-07,0.632
2015-10-08,0.636
2015-10-09,0.633
2015-10-12,0.64
2015-10-13,0.641
2015-10-14,0.665
2015-10-15,0.667
2015-10-16,0.677
2015-10-19,0.676
2015-10-20,0.675
2015-10-21,0.666
2015-10-22,0.69
2015-10-23,0.695
2015-10-26,0.692
2015-10-27,0.691
2015-10-28,0.697
2015-10-29,0.673
2015-10-30,0.689
2015-11-02,0.697
2015-11-03,0.693
2015-11-04,0.681
2015-11-05,0.673
2015-11-06,0.767
2015-11-09,0.763
2015-11-10,0.749
2015-11-11,0.741
2015-11-12,0.739
2015-11-13,0.724
2015-11-16,0.739
2015-11-17,0.739
2015-11-18,0.757
